no_show_late_cancel_id,site_id,program,week_start_date,no_show_rate,late_cancel_rate,synthetic_demo
SLOT_SITE_ACH_INSPIRED_surgery_followup_011,SITE_ACH_INSPIRED,surgery_followup,2026-03-23,0.119,0.081,True
SLOT_SITE_ACH_INSPIRED_surgery_followup_012,SITE_ACH_INSPIRED,surgery_followup,2026-03-30,0.083,0.032,True
SLOT_SITE_ACH_INSPIRED_surgery_followup_013,SITE_ACH_INSPIRED,surgery_followup,2026-04-06,0.127,0.027,True
SLOT_SITE_ACH_INSPIRED_surgery_followup_014,SITE_ACH_INSPIRED,surgery_followup,2026-04-13,0.088,0.027,True
SLOT_SITE_ACH_INSPIRED_surgery_followup_015,SITE_ACH_INSPIRED,surgery_followup,2026-04-20,0.075,0.064,True
SLOT_SITE_ACH_INSPIRED_surgery_followup_016,SITE_ACH_INSPIRED,surgery_followup,2026-04-27,0.065,0.02,True
SLOT_SITE_ACH_INSPIRED_oncology_survivorship_000,SITE_ACH_INSPIRED,oncology_survivorship,2026-01-05,0.07,0.016,True
SLOT_SITE_ACH_INSPIRED_oncology_survivorship_001,SITE_ACH_INSPIRED,oncology_survivorship,2026-01-12,0.066,0.024,True
SLOT_SITE_ACH_INSPIRED_oncology_survivorship_002,SITE_ACH_INSPIRED,oncology_survivorship,2026-01-19,0.049,0.031,True
SLOT_SITE_ACH_INSPIRED_oncology_survivorship_003,SITE_ACH_INSPIRED,oncology_survivorship,2026-01-26,0.032,0.051,True
SLOT_SITE_ACH_INSPIRED_oncology_survivorship_004,SITE_ACH_INSPIRED,oncology_survivorship,2026-02-02,0.048,0.02,True
SLOT_SITE_ACH_INSPIRED_oncology_survivorship_005,SITE_ACH_INSPIRED,oncology_survivorship,2026-02-09,0.087,0.022,True
SLOT_SITE_ACH_INSPIRED_oncology_survivorship_006,SITE_ACH_INSPIRED,oncology_survivorship,2026-02-16,0.122,0.039,True
SLOT_SITE_ACH_INSPIRED_oncology_survivorship_007,SITE_ACH_INSPIRED,oncology_survivorship,2026-02-23,0.089,0.034,True
SLOT_SITE_ACH_INSPIRED_oncology_survivorship_008,SITE_ACH_INSPIRED,oncology_survivorship,2026-03-02,0.107,0.041,True
SLOT_SITE_ACH_INSPIRED_oncology_survivorship_009,SITE_ACH_INSPIRED,oncology_survivorship,2026-03-09,0.099,0.029,True
SLOT_SITE_ACH_INSPIRED_oncology_survivorship_010,SITE_ACH_INSPIRED,oncology_survivorship,2026-03-16,0.069,0.039,True
SLOT_SITE_ACH_INSPIRED_oncology_survivorship_011,SITE_ACH_INSPIRED,oncology_survivorship,2026-03-23,0.07,0.046,True
SLOT_SITE_ACH_INSPIRED_oncology_survivorship_012,SITE_ACH_INSPIRED,oncology_survivorship,2026-03-30,0.051,0.042,True
SLOT_SITE_ACH_INSPIRED_oncology_survivorship_013,SITE_ACH_INSPIRED,oncology_survivorship,2026-04-06,0.031,0.116,True
SLOT_SITE_ACH_INSPIRED_oncology_survivorship_014,SITE_ACH_INSPIRED,oncology_survivorship,2026-04-13,0.037,0.04,True
SLOT_SITE_ACH_INSPIRED_oncology_survivorship_015,SITE_ACH_INSPIRED,oncology_survivorship,2026-04-20,0.071,0.016,True
SLOT_SITE_ACH_INSPIRED_oncology_survivorship_016,SITE_ACH_INSPIRED,oncology_survivorship,2026-04-27,0.071,0.085,True
SLOT_SITE_ACH_INSPIRED_complex_care_000,SITE_ACH_INSPIRED,complex_care,2026-01-05,0.084,0.034,True
SLOT_SITE_ACH_INSPIRED_complex_care_001,SITE_ACH_INSPIRED,complex_care,2026-01-12,0.097,0.041,True
SLOT_SITE_ACH_INSPIRED_complex_care_002,SITE_ACH_INSPIRED,complex_care,2026-01-19,0.056,0.089,True
SLOT_SITE_ACH_INSPIRED_complex_care_003,SITE_ACH_INSPIRED,complex_care,2026-01-26,0.049,0.019,True
SLOT_SITE_ACH_INSPIRED_complex_care_004,SITE_ACH_INSPIRED,complex_care,2026-02-02,0.073,0.076,True
SLOT_SITE_ACH_INSPIRED_complex_care_005,SITE_ACH_INSPIRED,complex_care,2026-02-09,0.091,0.015,True
SLOT_SITE_ACH_INSPIRED_complex_care_006,SITE_ACH_INSPIRED,complex_care,2026-02-16,0.053,0.066,True
SLOT_SITE_ACH_INSPIRED_complex_care_007,SITE_ACH_INSPIRED,complex_care,2026-02-23,0.048,0.041,True
SLOT_SITE_ACH_INSPIRED_complex_care_008,SITE_ACH_INSPIRED,complex_care,2026-03-02,0.058,0.014,True
SLOT_SITE_ACH_INSPIRED_complex_care_009,SITE_ACH_INSPIRED,complex_care,2026-03-09,0.077,0.048,True
SLOT_SITE_ACH_INSPIRED_complex_care_010,SITE_ACH_INSPIRED,complex_care,2026-03-16,0.06,0.019,True
SLOT_SITE_ACH_INSPIRED_complex_care_011,SITE_ACH_INSPIRED,complex_care,2026-03-23,0.085,0.017,True
SLOT_SITE_ACH_INSPIRED_complex_care_012,SITE_ACH_INSPIRED,complex_care,2026-03-30,0.072,0.025,True
SLOT_SITE_ACH_INSPIRED_complex_care_013,SITE_ACH_INSPIRED,complex_care,2026-04-06,0.019,0.042,True
SLOT_SITE_ACH_INSPIRED_complex_care_014,SITE_ACH_INSPIRED,complex_care,2026-04-13,0.143,0.036,True
SLOT_SITE_ACH_INSPIRED_complex_care_015,SITE_ACH_INSPIRED,complex_care,2026-04-20,0.064,0.042,True
SLOT_SITE_ACH_INSPIRED_complex_care_016,SITE_ACH_INSPIRED,complex_care,2026-04-27,0.065,0.052,True
SLOT_SITE_ACH_INSPIRED_mental_health_000,SITE_ACH_INSPIRED,mental_health,2026-01-05,0.21,0.009,True
SLOT_SITE_ACH_INSPIRED_mental_health_001,SITE_ACH_INSPIRED,mental_health,2026-01-12,0.201,0.026,True
SLOT_SITE_ACH_INSPIRED_mental_health_002,SITE_ACH_INSPIRED,mental_health,2026-01-19,0.134,0.064,True
SLOT_SITE_ACH_INSPIRED_mental_health_003,SITE_ACH_INSPIRED,mental_health,2026-01-26,0.169,0.039,True
SLOT_SITE_ACH_INSPIRED_mental_health_004,SITE_ACH_INSPIRED,mental_health,2026-02-02,0.074,0.079,True
SLOT_SITE_ACH_INSPIRED_mental_health_005,SITE_ACH_INSPIRED,mental_health,2026-02-09,0.058,0.035,True
SLOT_SITE_ACH_INSPIRED_mental_health_006,SITE_ACH_INSPIRED,mental_health,2026-02-16,0.137,0.012,True
SLOT_SITE_ACH_INSPIRED_mental_health_007,SITE_ACH_INSPIRED,mental_health,2026-02-23,0.112,0.009,True
SLOT_SITE_ACH_INSPIRED_mental_health_008,SITE_ACH_INSPIRED,mental_health,2026-03-02,0.153,0.026,True
SLOT_SITE_ACH_INSPIRED_mental_health_009,SITE_ACH_INSPIRED,mental_health,2026-03-09,0.212,0.035,True
SLOT_SITE_ACH_INSPIRED_mental_health_010,SITE_ACH_INSPIRED,mental_health,2026-03-16,0.12,0.011,True
SLOT_SITE_ACH_INSPIRED_mental_health_011,SITE_ACH_INSPIRED,mental_health,2026-03-23,0.158,0.03,True
SLOT_SITE_ACH_INSPIRED_mental_health_012,SITE_ACH_INSPIRED,mental_health,2026-03-30,0.145,0.048,True
SLOT_SITE_ACH_INSPIRED_mental_health_013,SITE_ACH_INSPIRED,mental_health,2026-04-06,0.118,0.047,True
SLOT_SITE_ACH_INSPIRED_mental_health_014,SITE_ACH_INSPIRED,mental_health,2026-04-13,0.223,0.023,True
SLOT_SITE_ACH_INSPIRED_mental_health_015,SITE_ACH_INSPIRED,mental_health,2026-04-20,0.068,0.022,True
SLOT_SITE_ACH_INSPIRED_mental_health_016,SITE_ACH_INSPIRED,mental_health,2026-04-27,0.096,0.09,True
SLOT_SITE_ACH_INSPIRED_diagnostic_procedures_000,SITE_ACH_INSPIRED,diagnostic_procedures,2026-01-05,0.092,0.04,True
SLOT_SITE_ACH_INSPIRED_diagnostic_procedures_001,SITE_ACH_INSPIRED,diagnostic_procedures,2026-01-12,0.048,0.033,True
SLOT_SITE_ACH_INSPIRED_diagnostic_procedures_002,SITE_ACH_INSPIRED,diagnostic_procedures,2026-01-19,0.103,0.023,True
SLOT_SITE_ACH_INSPIRED_diagnostic_procedures_003,SITE_ACH_INSPIRED,diagnostic_procedures,2026-01-26,0.048,0.016,True
SLOT_SITE_ACH_INSPIRED_diagnostic_procedures_004,SITE_ACH_INSPIRED,diagnostic_procedures,2026-02-02,0.049,0.049,True
SLOT_SITE_ACH_INSPIRED_diagnostic_procedures_005,SITE_ACH_INSPIRED,diagnostic_procedures,2026-02-09,0.122,0.056,True
SLOT_SITE_ACH_INSPIRED_diagnostic_procedures_006,SITE_ACH_INSPIRED,diagnostic_procedures,2026-02-16,0.046,0.05,True
SLOT_SITE_ACH_INSPIRED_diagnostic_procedures_007,SITE_ACH_INSPIRED,diagnostic_procedures,2026-02-23,0.098,0.087,True
SLOT_SITE_ACH_INSPIRED_diagnostic_procedures_008,SITE_ACH_INSPIRED,diagnostic_procedures,2026-03-02,0.071,0.097,True
SLOT_SITE_ACH_INSPIRED_diagnostic_procedures_009,SITE_ACH_INSPIRED,diagnostic_procedures,2026-03-09,0.039,0.021,True
SLOT_SITE_ACH_INSPIRED_diagnostic_procedures_010,SITE_ACH_INSPIRED,diagnostic_procedures,2026-03-16,0.037,0.033,True
SLOT_SITE_ACH_INSPIRED_diagnostic_procedures_011,SITE_ACH_INSPIRED,diagnostic_procedures,2026-03-23,0.059,0.064,True
SLOT_SITE_ACH_INSPIRED_diagnostic_procedures_012,SITE_ACH_INSPIRED,diagnostic_procedures,2026-03-30,0.079,0.019,True
SLOT_SITE_ACH_INSPIRED_diagnostic_procedures_013,SITE_ACH_INSPIRED,diagnostic_procedures,2026-04-06,0.134,0.035,True
SLOT_SITE_ACH_INSPIRED_diagnostic_procedures_014,SITE_ACH_INSPIRED,diagnostic_procedures,2026-04-13,0.084,0.034,True
SLOT_SITE_ACH_INSPIRED_diagnostic_procedures_015,SITE_ACH_INSPIRED,diagnostic_procedures,2026-04-20,0.094,0.026,True
SLOT_SITE_ACH_INSPIRED_diagnostic_procedures_016,SITE_ACH_INSPIRED,diagnostic_procedures,2026-04-27,0.043,0.026,True
SLOT_SITE_PROV_NETWORK_respiratory_000,SITE_PROV_NETWORK,respiratory,2026-01-05,0.055,0.032,True
SLOT_SITE_PROV_NETWORK_respiratory_001,SITE_PROV_NETWORK,respiratory,2026-01-12,0.095,0.009,True
SLOT_SITE_PROV_NETWORK_respiratory_002,SITE_PROV_NETWORK,respiratory,2026-01-19,0.05,0.035,True
SLOT_SITE_PROV_NETWORK_respiratory_003,SITE_PROV_NETWORK,respiratory,2026-01-26,0.024,0.074,True
SLOT_SITE_PROV_NETWORK_respiratory_004,SITE_PROV_NETWORK,respiratory,2026-02-02,0.034,0.018,True
SLOT_SITE_PROV_NETWORK_respiratory_005,SITE_PROV_NETWORK,respiratory,2026-02-09,0.015,0.019,True
SLOT_SITE_PROV_NETWORK_respiratory_006,SITE_PROV_NETWORK,respiratory,2026-02-16,0.08,0.04,True
SLOT_SITE_PROV_NETWORK_respiratory_007,SITE_PROV_NETWORK,respiratory,2026-02-23,0.095,0.029,True
SLOT_SITE_PROV_NETWORK_respiratory_008,SITE_PROV_NETWORK,respiratory,2026-03-02,0.066,0.021,True
SLOT_SITE_PROV_NETWORK_respiratory_009,SITE_PROV_NETWORK,respiratory,2026-03-09,0.061,0.049,True
SLOT_SITE_PROV_NETWORK_respiratory_010,SITE_PROV_NETWORK,respiratory,2026-03-16,0.09,0.007,True
SLOT_SITE_PROV_NETWORK_respiratory_011,SITE_PROV_NETWORK,respiratory,2026-03-23,0.106,0.126,True
SLOT_SITE_PROV_NETWORK_respiratory_012,SITE_PROV_NETWORK,respiratory,2026-03-30,0.104,0.033,True
SLOT_SITE_PROV_NETWORK_respiratory_013,SITE_PROV_NETWORK,respiratory,2026-04-06,0.134,0.069,True
SLOT_SITE_PROV_NETWORK_respiratory_014,SITE_PROV_NETWORK,respiratory,2026-04-13,0.056,0.031,True
SLOT_SITE_PROV_NETWORK_respiratory_015,SITE_PROV_NETWORK,respiratory,2026-04-20,0.069,0.027,True
SLOT_SITE_PROV_NETWORK_respiratory_016,SITE_PROV_NETWORK,respiratory,2026-04-27,0.065,0.01,True
SLOT_SITE_PROV_NETWORK_cardiology_000,SITE_PROV_NETWORK,cardiology,2026-01-05,0.095,0.023,True
SLOT_SITE_PROV_NETWORK_cardiology_001,SITE_PROV_NETWORK,cardiology,2026-01-12,0.125,0.024,True
SLOT_SITE_PROV_NETWORK_cardiology_002,SITE_PROV_NETWORK,cardiology,2026-01-19,0.041,0.031,True
SLOT_SITE_PROV_NETWORK_cardiology_003,SITE_PROV_NETWORK,cardiology,2026-01-26,0.059,0.042,True
SLOT_SITE_PROV_NETWORK_cardiology_004,SITE_PROV_NETWORK,cardiology,2026-02-02,0.099,0.039,True
SLOT_SITE_PROV_NETWORK_cardiology_005,SITE_PROV_NETWORK,cardiology,2026-02-09,0.029,0.045,True
SLOT_SITE_PROV_NETWORK_cardiology_006,SITE_PROV_NETWORK,cardiology,2026-02-16,0.055,0.021,True
SLOT_SITE_PROV_NETWORK_cardiology_007,SITE_PROV_NETWORK,cardiology,2026-02-23,0.057,0.031,True
SLOT_SITE_PROV_NETWORK_cardiology_008,SITE_PROV_NETWORK,cardiology,2026-03-02,0.052,0.017,True
SLOT_SITE_PROV_NETWORK_cardiology_009,SITE_PROV_NETWORK,cardiology,2026-03-09,0.092,0.033,True
SLOT_SITE_PROV_NETWORK_cardiology_010,SITE_PROV_NETWORK,cardiology,2026-03-16,0.051,0.05,True
SLOT_SITE_PROV_NETWORK_cardiology_011,SITE_PROV_NETWORK,cardiology,2026-03-23,0.044,0.033,True
SLOT_SITE_PROV_NETWORK_cardiology_012,SITE_PROV_NETWORK,cardiology,2026-03-30,0.067,0.032,True
SLOT_SITE_PROV_NETWORK_cardiology_013,SITE_PROV_NETWORK,cardiology,2026-04-06,0.076,0.018,True
SLOT_SITE_PROV_NETWORK_cardiology_014,SITE_PROV_NETWORK,cardiology,2026-04-13,0.074,0.027,True
SLOT_SITE_PROV_NETWORK_cardiology_015,SITE_PROV_NETWORK,cardiology,2026-04-20,0.074,0.018,True
SLOT_SITE_PROV_NETWORK_cardiology_016,SITE_PROV_NETWORK,cardiology,2026-04-27,0.043,0.057,True
SLOT_SITE_PROV_NETWORK_neurology_000,SITE_PROV_NETWORK,neurology,2026-01-05,0.03,0.035,True
SLOT_SITE_PROV_NETWORK_neurology_001,SITE_PROV_NETWORK,neurology,2026-01-12,0.077,0.06,True
SLOT_SITE_PROV_NETWORK_neurology_002,SITE_PROV_NETWORK,neurology,2026-01-19,0.059,0.03,True
SLOT_SITE_PROV_NETWORK_neurology_003,SITE_PROV_NETWORK,neurology,2026-01-26,0.062,0.015,True
SLOT_SITE_PROV_NETWORK_neurology_004,SITE_PROV_NETWORK,neurology,2026-02-02,0.079,0.038,True
SLOT_SITE_PROV_NETWORK_neurology_005,SITE_PROV_NETWORK,neurology,2026-02-09,0.055,0.054,True
SLOT_SITE_PROV_NETWORK_neurology_006,SITE_PROV_NETWORK,neurology,2026-02-16,0.05,0.062,True
SLOT_SITE_PROV_NETWORK_neurology_007,SITE_PROV_NETWORK,neurology,2026-02-23,0.076,0.035,True
SLOT_SITE_PROV_NETWORK_neurology_008,SITE_PROV_NETWORK,neurology,2026-03-02,0.047,0.036,True
SLOT_SITE_PROV_NETWORK_neurology_009,SITE_PROV_NETWORK,neurology,2026-03-09,0.129,0.079,True
SLOT_SITE_PROV_NETWORK_neurology_010,SITE_PROV_NETWORK,neurology,2026-03-16,0.046,0.024,True
SLOT_SITE_PROV_NETWORK_neurology_011,SITE_PROV_NETWORK,neurology,2026-03-23,0.076,0.046,True
SLOT_SITE_PROV_NETWORK_neurology_012,SITE_PROV_NETWORK,neurology,2026-03-30,0.044,0.04,True
SLOT_SITE_PROV_NETWORK_neurology_013,SITE_PROV_NETWORK,neurology,2026-04-06,0.069,0.008,True
SLOT_SITE_PROV_NETWORK_neurology_014,SITE_PROV_NETWORK,neurology,2026-04-13,0.047,0.046,True
SLOT_SITE_PROV_NETWORK_neurology_015,SITE_PROV_NETWORK,neurology,2026-04-20,0.051,0.028,True
SLOT_SITE_PROV_NETWORK_neurology_016,SITE_PROV_NETWORK,neurology,2026-04-27,0.038,0.02,True
SLOT_SITE_PROV_NETWORK_surgery_followup_000,SITE_PROV_NETWORK,surgery_followup,2026-01-05,0.08,0.049,True
SLOT_SITE_PROV_NETWORK_surgery_followup_001,SITE_PROV_NETWORK,surgery_followup,2026-01-12,0.06,0.047,True
SLOT_SITE_PROV_NETWORK_surgery_followup_002,SITE_PROV_NETWORK,surgery_followup,2026-01-19,0.044,0.049,True
SLOT_SITE_PROV_NETWORK_surgery_followup_003,SITE_PROV_NETWORK,surgery_followup,2026-01-26,0.105,0.032,True
SLOT_SITE_PROV_NETWORK_surgery_followup_004,SITE_PROV_NETWORK,surgery_followup,2026-02-02,0.066,0.036,True
SLOT_SITE_PROV_NETWORK_surgery_followup_005,SITE_PROV_NETWORK,surgery_followup,2026-02-09,0.081,0.043,True
SLOT_SITE_PROV_NETWORK_surgery_followup_006,SITE_PROV_NETWORK,surgery_followup,2026-02-16,0.061,0.036,True
SLOT_SITE_PROV_NETWORK_surgery_followup_007,SITE_PROV_NETWORK,surgery_followup,2026-02-23,0.088,0.015,True
SLOT_SITE_PROV_NETWORK_surgery_followup_008,SITE_PROV_NETWORK,surgery_followup,2026-03-02,0.102,0.037,True
SLOT_SITE_PROV_NETWORK_surgery_followup_009,SITE_PROV_NETWORK,surgery_followup,2026-03-09,0.127,0.004,True
SLOT_SITE_PROV_NETWORK_surgery_followup_010,SITE_PROV_NETWORK,surgery_followup,2026-03-16,0.072,0.018,True
SLOT_SITE_PROV_NETWORK_surgery_followup_011,SITE_PROV_NETWORK,surgery_followup,2026-03-23,0.059,0.015,True
SLOT_SITE_PROV_NETWORK_surgery_followup_012,SITE_PROV_NETWORK,surgery_followup,2026-03-30,0.064,0.02,True
SLOT_SITE_PROV_NETWORK_surgery_followup_013,SITE_PROV_NETWORK,surgery_followup,2026-04-06,0.113,0.012,True
SLOT_SITE_PROV_NETWORK_surgery_followup_014,SITE_PROV_NETWORK,surgery_followup,2026-04-13,0.075,0.07,True
SLOT_SITE_PROV_NETWORK_surgery_followup_015,SITE_PROV_NETWORK,surgery_followup,2026-04-20,0.05,0.032,True
SLOT_SITE_PROV_NETWORK_surgery_followup_016,SITE_PROV_NETWORK,surgery_followup,2026-04-27,0.075,0.048,True
SLOT_SITE_PROV_NETWORK_oncology_survivorship_000,SITE_PROV_NETWORK,oncology_survivorship,2026-01-05,0.064,0.055,True
SLOT_SITE_PROV_NETWORK_oncology_survivorship_001,SITE_PROV_NETWORK,oncology_survivorship,2026-01-12,0.088,0.028,True
SLOT_SITE_PROV_NETWORK_oncology_survivorship_002,SITE_PROV_NETWORK,oncology_survivorship,2026-01-19,0.079,0.02,True
SLOT_SITE_PROV_NETWORK_oncology_survivorship_003,SITE_PROV_NETWORK,oncology_survivorship,2026-01-26,0.058,0.03,True
SLOT_SITE_PROV_NETWORK_oncology_survivorship_004,SITE_PROV_NETWORK,oncology_survivorship,2026-02-02,0.064,0.065,True
SLOT_SITE_PROV_NETWORK_oncology_survivorship_005,SITE_PROV_NETWORK,oncology_survivorship,2026-02-09,0.117,0.02,True
SLOT_SITE_PROV_NETWORK_oncology_survivorship_006,SITE_PROV_NETWORK,oncology_survivorship,2026-02-16,0.079,0.063,True
SLOT_SITE_PROV_NETWORK_oncology_survivorship_007,SITE_PROV_NETWORK,oncology_survivorship,2026-02-23,0.046,0.021,True
SLOT_SITE_PROV_NETWORK_oncology_survivorship_008,SITE_PROV_NETWORK,oncology_survivorship,2026-03-02,0.079,0.027,True
SLOT_SITE_PROV_NETWORK_oncology_survivorship_009,SITE_PROV_NETWORK,oncology_survivorship,2026-03-09,0.046,0.046,True
SLOT_SITE_PROV_NETWORK_oncology_survivorship_010,SITE_PROV_NETWORK,oncology_survivorship,2026-03-16,0.058,0.031,True
SLOT_SITE_PROV_NETWORK_oncology_survivorship_011,SITE_PROV_NETWORK,oncology_survivorship,2026-03-23,0.087,0.006,True
SLOT_SITE_PROV_NETWORK_oncology_survivorship_012,SITE_PROV_NETWORK,oncology_survivorship,2026-03-30,0.068,0.048,True
SLOT_SITE_PROV_NETWORK_oncology_survivorship_013,SITE_PROV_NETWORK,oncology_survivorship,2026-04-06,0.084,0.086,True
SLOT_SITE_PROV_NETWORK_oncology_survivorship_014,SITE_PROV_NETWORK,oncology_survivorship,2026-04-13,0.071,0.042,True
SLOT_SITE_PROV_NETWORK_oncology_survivorship_015,SITE_PROV_NETWORK,oncology_survivorship,2026-04-20,0.145,0.004,True
SLOT_SITE_PROV_NETWORK_oncology_survivorship_016,SITE_PROV_NETWORK,oncology_survivorship,2026-04-27,0.046,0.065,True
SLOT_SITE_PROV_NETWORK_complex_care_000,SITE_PROV_NETWORK,complex_care,2026-01-05,0.083,0.036,True
SLOT_SITE_PROV_NETWORK_complex_care_001,SITE_PROV_NETWORK,complex_care,2026-01-12,0.151,0.006,True
SLOT_SITE_PROV_NETWORK_complex_care_002,SITE_PROV_NETWORK,complex_care,2026-01-19,0.049,0.024,True
SLOT_SITE_PROV_NETWORK_complex_care_003,SITE_PROV_NETWORK,complex_care,2026-01-26,0.081,0.032,True
SLOT_SITE_PROV_NETWORK_complex_care_004,SITE_PROV_NETWORK,complex_care,2026-02-02,0.115,0.025,True
SLOT_SITE_PROV_NETWORK_complex_care_005,SITE_PROV_NETWORK,complex_care,2026-02-09,0.07,0.047,True
SLOT_SITE_PROV_NETWORK_complex_care_006,SITE_PROV_NETWORK,complex_care,2026-02-16,0.043,0.066,True
SLOT_SITE_PROV_NETWORK_complex_care_007,SITE_PROV_NETWORK,complex_care,2026-02-23,0.074,0.048,True
SLOT_SITE_PROV_NETWORK_complex_care_008,SITE_PROV_NETWORK,complex_care,2026-03-02,0.066,0.03,True
SLOT_SITE_PROV_NETWORK_complex_care_009,SITE_PROV_NETWORK,complex_care,2026-03-09,0.065,0.036,True
SLOT_SITE_PROV_NETWORK_complex_care_010,SITE_PROV_NETWORK,complex_care,2026-03-16,0.189,0.06,True
SLOT_SITE_PROV_NETWORK_complex_care_011,SITE_PROV_NETWORK,complex_care,2026-03-23,0.045,0.085,True
SLOT_SITE_PROV_NETWORK_complex_care_012,SITE_PROV_NETWORK,complex_care,2026-03-30,0.053,0.043,True
SLOT_SITE_PROV_NETWORK_complex_care_013,SITE_PROV_NETWORK,complex_care,2026-04-06,0.039,0.053,True
SLOT_SITE_PROV_NETWORK_complex_care_014,SITE_PROV_NETWORK,complex_care,2026-04-13,0.053,0.041,True
SLOT_SITE_PROV_NETWORK_complex_care_015,SITE_PROV_NETWORK,complex_care,2026-04-20,0.085,0.048,True
SLOT_SITE_PROV_NETWORK_complex_care_016,SITE_PROV_NETWORK,complex_care,2026-04-27,0.077,0.045,True
SLOT_SITE_PROV_NETWORK_mental_health_000,SITE_PROV_NETWORK,mental_health,2026-01-05,0.134,0.035,True
SLOT_SITE_PROV_NETWORK_mental_health_001,SITE_PROV_NETWORK,mental_health,2026-01-12,0.125,0.028,True
SLOT_SITE_PROV_NETWORK_mental_health_002,SITE_PROV_NETWORK,mental_health,2026-01-19,0.068,0.023,True
SLOT_SITE_PROV_NETWORK_mental_health_003,SITE_PROV_NETWORK,mental_health,2026-01-26,0.041,0.024,True
SLOT_SITE_PROV_NETWORK_mental_health_004,SITE_PROV_NETWORK,mental_health,2026-02-02,0.121,0.027,True
SLOT_SITE_PROV_NETWORK_mental_health_005,SITE_PROV_NETWORK,mental_health,2026-02-09,0.161,0.031,True
SLOT_SITE_PROV_NETWORK_mental_health_006,SITE_PROV_NETWORK,mental_health,2026-02-16,0.109,0.056,True
SLOT_SITE_PROV_NETWORK_mental_health_007,SITE_PROV_NETWORK,mental_health,2026-02-23,0.189,0.024,True
SLOT_SITE_PROV_NETWORK_mental_health_008,SITE_PROV_NETWORK,mental_health,2026-03-02,0.116,0.035,True
SLOT_SITE_PROV_NETWORK_mental_health_009,SITE_PROV_NETWORK,mental_health,2026-03-09,0.046,0.11,True
SLOT_SITE_PROV_NETWORK_mental_health_010,SITE_PROV_NETWORK,mental_health,2026-03-16,0.121,0.012,True
SLOT_SITE_PROV_NETWORK_mental_health_011,SITE_PROV_NETWORK,mental_health,2026-03-23,0.141,0.032,True
SLOT_SITE_PROV_NETWORK_mental_health_012,SITE_PROV_NETWORK,mental_health,2026-03-30,0.081,0.049,True
SLOT_SITE_PROV_NETWORK_mental_health_013,SITE_PROV_NETWORK,mental_health,2026-04-06,0.089,0.043,True
SLOT_SITE_PROV_NETWORK_mental_health_014,SITE_PROV_NETWORK,mental_health,2026-04-13,0.116,0.03,True
SLOT_SITE_PROV_NETWORK_mental_health_015,SITE_PROV_NETWORK,mental_health,2026-04-20,0.083,0.047,True
SLOT_SITE_PROV_NETWORK_mental_health_016,SITE_PROV_NETWORK,mental_health,2026-04-27,0.089,0.008,True
SLOT_SITE_PROV_NETWORK_diagnostic_procedures_000,SITE_PROV_NETWORK,diagnostic_procedures,2026-01-05,0.075,0.055,True
SLOT_SITE_PROV_NETWORK_diagnostic_procedures_001,SITE_PROV_NETWORK,diagnostic_procedures,2026-01-12,0.046,0.008,True
SLOT_SITE_PROV_NETWORK_diagnostic_procedures_002,SITE_PROV_NETWORK,diagnostic_procedures,2026-01-19,0.169,0.06,True
SLOT_SITE_PROV_NETWORK_diagnostic_procedures_003,SITE_PROV_NETWORK,diagnostic_procedures,2026-01-26,0.064,0.005,True
SLOT_SITE_PROV_NETWORK_diagnostic_procedures_004,SITE_PROV_NETWORK,diagnostic_procedures,2026-02-02,0.092,0.025,True
SLOT_SITE_PROV_NETWORK_diagnostic_procedures_005,SITE_PROV_NETWORK,diagnostic_procedures,2026-02-09,0.104,0.027,True
SLOT_SITE_PROV_NETWORK_diagnostic_procedures_006,SITE_PROV_NETWORK,diagnostic_procedures,2026-02-16,0.125,0.022,True
SLOT_SITE_PROV_NETWORK_diagnostic_procedures_007,SITE_PROV_NETWORK,diagnostic_procedures,2026-02-23,0.094,0.022,True
SLOT_SITE_PROV_NETWORK_diagnostic_procedures_008,SITE_PROV_NETWORK,diagnostic_procedures,2026-03-02,0.093,0.057,True
SLOT_SITE_PROV_NETWORK_diagnostic_procedures_009,SITE_PROV_NETWORK,diagnostic_procedures,2026-03-09,0.045,0.022,True
SLOT_SITE_PROV_NETWORK_diagnostic_procedures_010,SITE_PROV_NETWORK,diagnostic_procedures,2026-03-16,0.088,0.061,True
SLOT_SITE_PROV_NETWORK_diagnostic_procedures_011,SITE_PROV_NETWORK,diagnostic_procedures,2026-03-23,0.094,0.026,True
SLOT_SITE_PROV_NETWORK_diagnostic_procedures_012,SITE_PROV_NETWORK,diagnostic_procedures,2026-03-30,0.067,0.073,True
SLOT_SITE_PROV_NETWORK_diagnostic_procedures_013,SITE_PROV_NETWORK,diagnostic_procedures,2026-04-06,0.107,0.069,True
SLOT_SITE_PROV_NETWORK_diagnostic_procedures_014,SITE_PROV_NETWORK,diagnostic_procedures,2026-04-13,0.07,0.029,True
SLOT_SITE_PROV_NETWORK_diagnostic_procedures_015,SITE_PROV_NETWORK,diagnostic_procedures,2026-04-20,0.063,0.021,True
SLOT_SITE_PROV_NETWORK_diagnostic_procedures_016,SITE_PROV_NETWORK,diagnostic_procedures,2026-04-27,0.027,0.057,True
